tier,namespace,type,member,wpf_sig
1,System.Windows,UIElement3D,IsStylusDirectlyOverProperty,public static readonly System.Windows.DependencyProperty IsStylusDirectlyOverProperty
1,System.Windows,UIElement3D,IsStylusOverProperty,public static readonly System.Windows.DependencyProperty IsStylusOverProperty
1,System.Windows,UIElement3D,IsVisibleProperty,public static readonly System.Windows.DependencyProperty IsVisibleProperty
1,System.Windows,UIElement3D,KeyDownEvent,public static readonly System.Windows.RoutedEvent KeyDownEvent
1,System.Windows,UIElement3D,KeyUpEvent,public static readonly System.Windows.RoutedEvent KeyUpEvent
1,System.Windows,UIElement3D,LostFocusEvent,public static readonly System.Windows.RoutedEvent LostFocusEvent
1,System.Windows,UIElement3D,LostKeyboardFocusEvent,public static readonly System.Windows.RoutedEvent LostKeyboardFocusEvent
1,System.Windows,UIElement3D,LostMouseCaptureEvent,public static readonly System.Windows.RoutedEvent LostMouseCaptureEvent
1,System.Windows,UIElement3D,LostStylusCaptureEvent,public static readonly System.Windows.RoutedEvent LostStylusCaptureEvent
1,System.Windows,UIElement3D,LostTouchCaptureEvent,public static readonly System.Windows.RoutedEvent LostTouchCaptureEvent
1,System.Windows,UIElement3D,MouseDownEvent,public static readonly System.Windows.RoutedEvent MouseDownEvent
1,System.Windows,UIElement3D,MouseEnterEvent,public static readonly System.Windows.RoutedEvent MouseEnterEvent
1,System.Windows,UIElement3D,MouseLeaveEvent,public static readonly System.Windows.RoutedEvent MouseLeaveEvent
1,System.Windows,UIElement3D,MouseLeftButtonDownEvent,public static readonly System.Windows.RoutedEvent MouseLeftButtonDownEvent
1,System.Windows,UIElement3D,MouseLeftButtonUpEvent,public static readonly System.Windows.RoutedEvent MouseLeftButtonUpEvent
1,System.Windows,UIElement3D,MouseMoveEvent,public static readonly System.Windows.RoutedEvent MouseMoveEvent
1,System.Windows,UIElement3D,MouseRightButtonDownEvent,public static readonly System.Windows.RoutedEvent MouseRightButtonDownEvent
1,System.Windows,UIElement3D,MouseRightButtonUpEvent,public static readonly System.Windows.RoutedEvent MouseRightButtonUpEvent
1,System.Windows,UIElement3D,MouseUpEvent,public static readonly System.Windows.RoutedEvent MouseUpEvent
1,System.Windows,UIElement3D,MouseWheelEvent,public static readonly System.Windows.RoutedEvent MouseWheelEvent
1,System.Windows,UIElement3D,PreviewDragEnterEvent,public static readonly System.Windows.RoutedEvent PreviewDragEnterEvent
1,System.Windows,UIElement3D,PreviewDragLeaveEvent,public static readonly System.Windows.RoutedEvent PreviewDragLeaveEvent
1,System.Windows,UIElement3D,PreviewDragOverEvent,public static readonly System.Windows.RoutedEvent PreviewDragOverEvent
1,System.Windows,UIElement3D,PreviewDropEvent,public static readonly System.Windows.RoutedEvent PreviewDropEvent
1,System.Windows,UIElement3D,PreviewGiveFeedbackEvent,public static readonly System.Windows.RoutedEvent PreviewGiveFeedbackEvent
1,System.Windows,UIElement3D,PreviewGotKeyboardFocusEvent,public static readonly System.Windows.RoutedEvent PreviewGotKeyboardFocusEvent
1,System.Windows,UIElement3D,PreviewKeyDownEvent,public static readonly System.Windows.RoutedEvent PreviewKeyDownEvent
